key,value,unit,tier,source,note
gardiner_daily_vehicles_system,140000,veh/weekday,PUBLISHED,"City of Toronto - About the Gardiner Expressway","Headline system-wide average weekday volume cited in the UTTAN proposal."
gardiner_daily_west_of_spadina,164000,veh/weekday,PUBLISHED,"City of Toronto expressway counts (reported)","Downtown section; used as an upper bound when deriving the western screenline."
dvp_daily_vehicles,100000,veh/weekday,PUBLISHED,"City of Toronto - expressways","Don Valley Parkway average weekday volume."
gtha_congestion_cost,44700000000,CAD/year,PUBLISHED,"CANCEA (2024) Impact of Congestion in the GTHA","Economic and social cost of congestion, GTHA-wide."
value_of_time_auto_peak,24.00,CAD/hour,PUBLISHED,"Metrolinx Business Case Manual Vol.2 (2021)","Peak auto commuter value of time; escalated in config to the modelling year."
gardiner_west_screenline_aadt,120000,veh/weekday two-way,DERIVED,"Derived from City counts","Western segment (427-Humber) sits below the 164k downtown count and near the 140k system average; 120k two-way used as the screenline base."
am_peak_share_of_daily,0.18,fraction,DERIVED,"Standard urban freeway temporal profile","Share of two-way daily traffic in the 3-hour 06:30-09:30 window."
am_inbound_direction_split,0.66,fraction,DERIVED,"Commuter directionality","Eastbound (inbound) share of AM peak-period traffic."
gardiner_lanes_per_direction,3,lanes,PUBLISHED,"City of Toronto - Gardiner Section 3 (427 to Humber River)","Mainline configuration in the study segment."
lane_capacity_freeway,1900,veh/hour/lane,PUBLISHED,"Highway Capacity Manual typical urban freeway","Used for the Gardiner mainline."
lane_capacity_arterial,900,veh/hour/lane,PUBLISHED,"Highway Capacity Manual signalised arterial","Used for Lake Shore Blvd W and The Queensway."
go_fare_mimico_union,6.05,CAD one-way,ESTIMATED,"GO Transit fare information (2026 fare table)","Public trip-planner fares for Mimico/Long Branch to Union sit in the ~$5-6.50 band; 6.05 used as the adult PRESTO point estimate."
ttc_fare_adult_presto,3.35,CAD one-way,PUBLISHED,"TTC Fares and Passes","Adult PRESTO single fare."
go_ivt_mimico_union,17,minutes,PUBLISHED,"GO Transit Lakeshore West timetable","Mimico to Union scheduled in-vehicle time."
go_ivt_long_branch_union,22,minutes,PUBLISHED,"GO Transit Lakeshore West timetable","Long Branch to Union scheduled in-vehicle time."
downtown_parking_peak_daily,26.00,CAD/day,ESTIMATED,"Toronto Parking Authority / commercial lot rates","Representative all-day downtown rate for a commuter who parks."
auto_operating_cost_per_km,0.22,CAD/km,ESTIMATED,"CAA driving-cost estimates, fuel + variable maintenance only","Perceived (not full ownership) cost per km."
auto_occupancy_commute,1.15,persons/vehicle,PUBLISHED,"DMG/TTS - Auto Passenger Travel and Auto Occupancy in the GTA","Work-trip auto occupancy in the GTA."
median_household_income_toronto,84000,CAD/year,PUBLISHED,"Statistics Canada Census 2021, City of Toronto","Median total household income; quintile bounds derived from this."
co2_per_litre,2.31,kg CO2e/L,PUBLISHED,"Environment and Climate Change Canada emission factors","Gasoline combustion factor."
fuel_consumption_congested,11.5,L/100km,ESTIMATED,"Fleet-average light vehicle, congested urban conditions","Used only for the transparent emissions proxy."
gardiner_dvp_transfer_year,2027,year,PUBLISHED,"City of Toronto / Province of Ontario (2026) transfer announcement","Ownership transfer planned for fall 2027."
lane_capacity_freeway_effective,1600,veh/hour/lane,DERIVED,"Queue-discharge rate after breakdown (HCM); design rate is 1900","The AM peak Gardiner operates at or beyond breakdown, so the discharge rate governs throughput."
lane_capacity_arterial_effective,800,veh/hour/lane,DERIVED,"Signalised arterial with ~0.45 effective green ratio","Applied to Lake Shore Blvd W and The Queensway."
gardiner_west_observed_peak_time,11.0,minutes,ESTIMATED,"Travel-time observations, Gardiner AM peak inbound","Hwy 427 to the Humber River; calibration target for the west-segment alpha."
gardiner_east_observed_peak_time,16.5,minutes,ESTIMATED,"Travel-time observations, Gardiner AM peak inbound","Humber River to the downtown core; calibration target for the east-segment alpha."
lakeshore_east_observed_peak_time,15.5,minutes,ESTIMATED,"Arterial travel-time observations","Held out of calibration to validate the transferred arterial alpha."
rejoin_fraction,0.55,fraction,ESTIMATED,"Gateway-charge bypass behaviour","Share of bypassing drivers who re-enter the expressway downstream of the charging point rather than continuing on the arterial. Confronted with the Gardiner rehabilitation record in rejoin_validation.py: still ESTIMATED, because no volume count has been published for either construction episode. The freeway-only diversion finding flips at 0.49."
