episode,facility,model_link,metric,baseline_value,treated_value,unit,tier,source,note
section2_2024,Gardiner Expwy (Humber River - Strachan Ave),gardiner_east,peak_travel_time,8.0,20.0,minutes,PUBLISHED,"Altitude by Geotab (2024-06-06), commercial-vehicle telematics","The treated segment. Section 2 (Dufferin-Strachan) went 3 lanes to 2 each way on 2024-04-15; this is the corridor containing it."
section2_2024,Gardiner Expwy (Jarvis St - Dufferin St),gardiner_east,peak_travel_time,11.0,25.0,minutes,PUBLISHED,"Altitude by Geotab (2024-06-06), commercial-vehicle telematics","5 km stretch through the work zone itself. Steeper than the wider corridor, as expected for the pinch point."
section2_2024,Gardiner Expwy (Hwy 427 - Cherry St) AM peak EB,gardiner_east,peak_travel_time,23.0,33.0,minutes,PUBLISHED,"Altitude by Geotab (2025-06-09) follow-up, 14-month average","Whole-corridor AM peak. Baseline 2024-01-08 to 2024-03-22; treated 2024-04-15 to 2025-04-12. The most stable of the three because it averages over 14 months rather than 3 weeks."
section2_2024,Lake Shore Blvd (parallel bypass),lakeshore_east,peak_travel_time,1.0,1.30,ratio,PUBLISHED,"Altitude by Geotab (2024-06-06 and 2025-06-09)","Reported only as a +30% travel-time increase, so it is carried as a ratio. This is the BYPASS, and it is the single most informative number in the record: it rose far less than the expressway."
section2_2024,Harbour St (downstream continuation),,peak_travel_time,1.0,1.72,ratio,PUBLISHED,"Altitude by Geotab (2024-06-06)","Downstream arterial, not a parallel bypass. Not mapped to a model link; recorded because it shows the downstream arterials degraded MORE than the parallel one."
section2_2024,Cherry St (downstream continuation),,peak_travel_time,1.0,1.27,ratio,PUBLISHED,"Altitude by Geotab (2024-06-06)","As above."
section2_2024,Gardiner Section 2 capacity,gardiner_east,lane_capacity_ratio,1.0,0.667,ratio,DERIVED,"City of Toronto news release 2024-04-11; CBC 2024-04-14","3 lanes to 2 each way between Dufferin St and Strachan Ave from 2024-04-15. The ratio is exact for the closed sub-segment, not for the whole measured corridor -- see rejoin_validation.CAPACITY_RATIO_BAND."
section3_2025,Islington Ave over the Gardiner,gardiner_west,lane_capacity_ratio,1.0,0.667,ratio,PUBLISHED,"City of Toronto - Gardiner Section 3: Early Works on Five Bridges","3 lanes to 2 each direction, 2025-04-07 to December 2026. On the CHARGED segment itself."
section3_2025,Kipling Ave over the Gardiner,gardiner_west,lane_capacity_ratio,1.0,0.667,ratio,PUBLISHED,"City of Toronto - Gardiner Section 3: Early Works on Five Bridges","3 lanes to 2 each direction, 2025-05-05 to December 2026."
section3_2025,Gardiner WB (Park Lawn Rd - Grand Ave),gardiner_west,lane_capacity_ratio,1.0,0.750,ratio,PUBLISHED,"City of Toronto - Gardiner Section 3: Early Works on Five Bridges","4 lanes to 3 westbound until May 2026; eastbound narrowed to December 2026. Westbound is the contra-peak direction for an AM inbound study."
section3_2025,Gardiner WB on-ramp at Park Lawn Rd,gardiner_west,ramp_closure,1.0,0.0,ratio,PUBLISHED,"City of Toronto - Gardiner Section 3: Early Works on Five Bridges","Fully closed 2026-08-05 to December 2026. A ramp closure is the closest physical analogue to a gantry in the whole record, but it is westbound (contra-peak) and no counts have been published."
